City,Candidate,Party,Votes,Won
Milton,Kevin Reed,LIB,180,FALSE
Monroe,Maura Healey,DEM,24,TRUE
Monroe,Geoff Diehl,REP,14,FALSE
Monroe,Kevin Reed,LIB,0,FALSE
Monson,Maura Healey,DEM,1708,FALSE
Monson,Geoff Diehl,REP,1950,TRUE
Monson,Kevin Reed,LIB,63,FALSE
Montague,Maura Healey,DEM,2474,TRUE
Montague,Geoff Diehl,REP,867,FALSE
Montague,Kevin Reed,LIB,62,FALSE
Monterey,Maura Healey,DEM,397,TRUE
Monterey,Geoff Diehl,REP,96,FALSE
Monterey,Kevin Reed,LIB,3,FALSE
Montgomery,Maura Healey,DEM,190,FALSE
Montgomery,Geoff Diehl,REP,256,TRUE
Montgomery,Kevin Reed,LIB,2,FALSE
Mount Washington,Maura Healey,DEM,79,TRUE
Mount Washington,Geoff Diehl,REP,20,FALSE
Mount Washington,Kevin Reed,LIB,4,FALSE
N. Adams,Maura Healey,DEM,2719,TRUE
N. Adams,Geoff Diehl,REP,1052,FALSE
N. Adams,Kevin Reed,LIB,79,FALSE
N. Andover,Maura Healey,DEM,7364,TRUE
N. Andover,Geoff Diehl,REP,4974,FALSE
N. Andover,Kevin Reed,LIB,181,FALSE
N. Attleborough,Maura Healey,DEM,6190,TRUE
N. Attleborough,Geoff Diehl,REP,4893,FALSE
N. Attleborough,Kevin Reed,LIB,210,FALSE
N. Brookfield,Maura Healey,DEM,827,FALSE
N. Brookfield,Geoff Diehl,REP,1110,TRUE
N. Brookfield,Kevin Reed,LIB,48,FALSE
N. Reading,Maura Healey,DEM,3981,TRUE
N. Reading,Geoff Diehl,REP,3173,FALSE
N. Reading,Kevin Reed,LIB,99,FALSE
Nahant,Maura Healey,DEM,1260,TRUE
Nahant,Geoff Diehl,REP,675,FALSE
Nahant,Kevin Reed,LIB,23,FALSE
Nantucket,Maura Healey,DEM,3262,TRUE
Nantucket,Geoff Diehl,REP,1553,FALSE
Nantucket,Kevin Reed,LIB,86,FALSE
Natick,Maura Healey,DEM,11924,TRUE
Natick,Geoff Diehl,REP,4061,FALSE
Natick,Kevin Reed,LIB,238,FALSE
Needham,Maura Healey,DEM,11436,TRUE
Needham,Geoff Diehl,REP,3671,FALSE
Needham,Kevin Reed,LIB,196,FALSE
New Ashford,Maura Healey,DEM,68,TRUE
New Ashford,Geoff Diehl,REP,47,FALSE
New Ashford,Kevin Reed,LIB,3,FALSE
New Bedford,Maura Healey,DEM,12580,TRUE
New Bedford,Geoff Diehl,REP,7698,FALSE
New Bedford,Kevin Reed,LIB,414,FALSE
New Braintree,Maura Healey,DEM,232,FALSE
New Braintree,Geoff Diehl,REP,246,TRUE
New Braintree,Kevin Reed,LIB,6,FALSE
New Marlborough,Maura Healey,DEM,509,TRUE
New Marlborough,Geoff Diehl,REP,224,FALSE
New Marlborough,Kevin Reed,LIB,18,FALSE
New Salem,Maura Healey,DEM,338,TRUE
New Salem,Geoff Diehl,REP,200,FALSE
New Salem,Kevin Reed,LIB,20,FALSE
Newbury,Maura Healey,DEM,2387,TRUE
Newbury,Geoff Diehl,REP,1482,FALSE
Newbury,Kevin Reed,LIB,67,FALSE
Newburyport,Maura Healey,DEM,7082,TRUE
Newburyport,Geoff Diehl,REP,2627,FALSE
Newburyport,Kevin Reed,LIB,119,FALSE
Newton,Maura Healey,DEM,29300,TRUE
Newton,Geoff Diehl,REP,6641,FALSE
Newton,Kevin Reed,LIB,474,FALSE
Norfolk,Maura Healey,DEM,2995,TRUE
Norfolk,Geoff Diehl,REP,2241,FALSE
Norfolk,Kevin Reed,LIB,90,FALSE
Northampton,Maura Healey,DEM,12163,TRUE
Northampton,Geoff Diehl,REP,1474,FALSE
Northampton,Kevin Reed,LIB,148,FALSE
Northborough,Maura Healey,DEM,4499,TRUE
Northborough,Geoff Diehl,REP,2383,FALSE
Northborough,Kevin Reed,LIB,128,FALSE
Northbridge,Maura Healey,DEM,3115,TRUE
Northbridge,Geoff Diehl,REP,3067,FALSE
Northbridge,Kevin Reed,LIB,118,FALSE
Northfield,Maura Healey,DEM,937,TRUE
Northfield,Geoff Diehl,REP,491,FALSE
Northfield,Kevin Reed,LIB,31,FALSE
Norton,Maura Healey,DEM,3840,TRUE
Norton,Geoff Diehl,REP,3368,FALSE
Norton,Kevin Reed,LIB,127,FALSE
Norwell,Maura Healey,DEM,3030,TRUE
Norwell,Geoff Diehl,REP,2442,FALSE
Norwell,Kevin Reed,LIB,87,FALSE
Norwood,Maura Healey,DEM,7286,TRUE
Norwood,Geoff Diehl,REP,4323,FALSE
Norwood,Kevin Reed,LIB,160,FALSE
Oak Bluffs,Maura Healey,DEM,1726,TRUE
Oak Bluffs,Geoff Diehl,REP,539,FALSE
Oak Bluffs,Kevin Reed,LIB,38,FALSE
Oakham,Maura Healey,DEM,398,FALSE
Oakham,Geoff Diehl,REP,519,TRUE
Oakham,Kevin Reed,LIB,13,FALSE
Orange,Maura Healey,DEM,1385,TRUE
Orange,Geoff Diehl,REP,1229,FALSE
Orange,Kevin Reed,LIB,57,FALSE
Orleans,Maura Healey,DEM,2639,TRUE
Orleans,Geoff Diehl,REP,1294,FALSE
Orleans,Kevin Reed,LIB,58,FALSE
Otis,Maura Healey,DEM,424,TRUE
Otis,Geoff Diehl,REP,323,FALSE
Otis,Kevin Reed,LIB,17,FALSE
Oxford,Maura Healey,DEM,2325,FALSE
Oxford,Geoff Diehl,REP,2728,TRUE
Oxford,Kevin Reed,LIB,110,FALSE
Palmer,Maura Healey,DEM,2004,FALSE
Palmer,Geoff Diehl,REP,2318,TRUE
Palmer,Kevin Reed,LIB,84,FALSE
Paxton,Maura Healey,DEM,1144,TRUE
Paxton,Geoff Diehl,REP,1013,FALSE
Paxton,Kevin Reed,LIB,38,FALSE
Peabody,Maura Healey,DEM,11341,TRUE
Peabody,Geoff Diehl,REP,8971,FALSE
Peabody,Kevin Reed,LIB,260,FALSE
Pelham,Maura Healey,DEM,637,TRUE
Pelham,Geoff Diehl,REP,70,FALSE
Pelham,Kevin Reed,LIB,17,FALSE
Pembroke,Maura Healey,DEM,4088,FALSE
Pembroke,Geoff Diehl,REP,4226,TRUE
Pembroke,Kevin Reed,LIB,133,FALSE
Pepperell,Maura Healey,DEM,2828,TRUE
Pepperell,Geoff Diehl,REP,2455,FALSE
Pepperell,Kevin Reed,LIB,115,FALSE
Peru,Maura Healey,DEM,186,TRUE
Peru,Geoff Diehl,REP,166,FALSE
Peru,Kevin Reed,LIB,9,FALSE
Petersham,Maura Healey,DEM,418,TRUE
Petersham,Geoff Diehl,REP,294,FALSE
Petersham,Kevin Reed,LIB,25,FALSE
Phillipston,Maura Healey,DEM,307,FALSE
Phillipston,Geoff Diehl,REP,475,TRUE
Phillipston,Kevin Reed,LIB,14,FALSE
Pittsfield,Maura Healey,DEM,10181,TRUE
Pittsfield,Geoff Diehl,REP,3574,FALSE
Pittsfield,Kevin Reed,LIB,282,FALSE
Plainfield,Maura Healey,DEM,256,TRUE
Plainfield,Geoff Diehl,REP,106,FALSE
Plainfield,Kevin Reed,LIB,3,FALSE
Plainville,Maura Healey,DEM,2167,TRUE
Plainville,Geoff Diehl,REP,1904,FALSE
Plainville,Kevin Reed,LIB,75,FALSE
Plymouth,Maura Healey,DEM,16065,TRUE
Plymouth,Geoff Diehl,REP,12565,FALSE
Plymouth,Kevin Reed,LIB,412,FALSE
Plympton,Maura Healey,DEM,685,FALSE
Plympton,Geoff Diehl,REP,771,TRUE
Plympton,Kevin Reed,LIB,31,FALSE
Princeton,Maura Healey,DEM,1156,TRUE
Princeton,Geoff Diehl,REP,747,FALSE
Princeton,Kevin Reed,LIB,34,FALSE
Provincetown,Maura Healey,DEM,2016,TRUE
Provincetown,Geoff Diehl,REP,191,FALSE
Provincetown,Kevin Reed,LIB,23,FALSE
Quincy,Maura Healey,DEM,19526,TRUE
Quincy,Geoff Diehl,REP,9931,FALSE
Quincy,Kevin Reed,LIB,464,FALSE
Randolph,Maura Healey,DEM,7180,TRUE
Randolph,Geoff Diehl,REP,2232,FALSE
Randolph,Kevin Reed,LIB,127,FALSE
Raynham,Maura Healey,DEM,2919,FALSE
Raynham,Geoff Diehl,REP,3137,TRUE
Raynham,Kevin Reed,LIB,83,FALSE
Reading,Maura Healey,DEM,8091,TRUE
Reading,Geoff Diehl,REP,4379,FALSE
Reading,Kevin Reed,LIB,156,FALSE
Rehoboth,Maura Healey,DEM,2398,FALSE
Rehoboth,Geoff Diehl,REP,2891,TRUE
Rehoboth,Kevin Reed,LIB,103,FALSE
Revere,Maura Healey,DEM,6690,TRUE
Revere,Geoff Diehl,REP,4258,FALSE
Revere,Kevin Reed,LIB,187,FALSE
Richmond,Maura Healey,DEM,630,TRUE
Richmond,Geoff Diehl,REP,175,FALSE
Richmond,Kevin Reed,LIB,9,FALSE
Rochester,Maura Healey,DEM,1194,FALSE
Rochester,Geoff Diehl,REP,1644,TRUE
Rochester,Kevin Reed,LIB,36,FALSE
Rockland,Maura Healey,DEM,3560,TRUE
Rockland,Geoff Diehl,REP,3253,FALSE
Rockland,Kevin Reed,LIB,92,FALSE
Rockport,Maura Healey,DEM,3107,TRUE
Rockport,Geoff Diehl,REP,1090,FALSE
Rockport,Kevin Reed,LIB,56,FALSE
Rowe,Maura Healey,DEM,123,TRUE
Rowe,Geoff Diehl,REP,87,FALSE
Rowe,Kevin Reed,LIB,0,FALSE
Rowley,Maura Healey,DEM,1592,TRUE
Rowley,Geoff Diehl,REP,1547,FALSE
Rowley,Kevin Reed,LIB,40,FALSE
Royalston,Maura Healey,DEM,329,TRUE
Royalston,Geoff Diehl,REP,286,FALSE
Royalston,Kevin Reed,LIB,11,FALSE
Russell,Maura Healey,DEM,251,FALSE
Russell,Geoff Diehl,REP,368,TRUE
Russell,Kevin Reed,LIB,14,FALSE
Rutland,Maura Healey,DEM,1957,FALSE
Rutland,Geoff Diehl,REP,2095,TRUE
Rutland,Kevin Reed,LIB,94,FALSE
S. Hadley,Maura Healey,DEM,4747,TRUE
S. Hadley,Geoff Diehl,REP,2499,FALSE
S. Hadley,Kevin Reed,LIB,119,FALSE
Salem,Maura Healey,DEM,12564,TRUE
Salem,Geoff Diehl,REP,3667,FALSE
Salem,Kevin Reed,LIB,302,FALSE
Salisbury,Maura Healey,DEM,2077,TRUE
Salisbury,Geoff Diehl,REP,1904,FALSE
Salisbury,Kevin Reed,LIB,44,FALSE
Sandisfield,Maura Healey,DEM,208,TRUE
Sandisfield,Geoff Diehl,REP,135,FALSE
Sandisfield,Kevin Reed,LIB,11,FALSE
Sandwich,Maura Healey,DEM,5630,TRUE
Sandwich,Geoff Diehl,REP,4795,FALSE
Sandwich,Kevin Reed,LIB,148,FALSE
Saugus,Maura Healey,DEM,5053,FALSE
Saugus,Geoff Diehl,REP,5132,TRUE
Saugus,Kevin Reed,LIB,145,FALSE
Savoy,Maura Healey,DEM,139,TRUE
Savoy,Geoff Diehl,REP,132,FALSE
Savoy,Kevin Reed,LIB,7,FALSE
Scituate,Maura Healey,DEM,6288,TRUE
Scituate,Geoff Diehl,REP,3995,FALSE
Scituate,Kevin Reed,LIB,140,FALSE
Seekonk,Maura Healey,DEM,3280,TRUE
Seekonk,Geoff Diehl,REP,2821,FALSE
Seekonk,Kevin Reed,LIB,86,FALSE
Sharon,Maura Healey,DEM,6030,TRUE
Sharon,Geoff Diehl,REP,1896,FALSE
Sharon,Kevin Reed,LIB,112,FALSE
Sheffield,Maura Healey,DEM,1068,TRUE
Sheffield,Geoff Diehl,REP,414,FALSE
Sheffield,Kevin Reed,LIB,29,FALSE
Shelburne,Maura Healey,DEM,668,TRUE
Shelburne,Geoff Diehl,REP,201,FALSE
Shelburne,Kevin Reed,LIB,22,FALSE
Sherborn,Maura Healey,DEM,1618,TRUE
Sherborn,Geoff Diehl,REP,531,FALSE
Sherborn,Kevin Reed,LIB,41,FALSE
Shirley,Maura Healey,DEM,1514,TRUE
Shirley,Geoff Diehl,REP,1104,FALSE
Shirley,Kevin Reed,LIB,64,FALSE
Shrewsbury,Maura Healey,DEM,9155,TRUE
Shrewsbury,Geoff Diehl,REP,5541,FALSE
Shrewsbury,Kevin Reed,LIB,229,FALSE
Shutesbury,Maura Healey,DEM,911,TRUE
Shutesbury,Geoff Diehl,REP,139,FALSE
Shutesbury,Kevin Reed,LIB,11,FALSE
Somerset,Maura Healey,DEM,4126,TRUE
Somerset,Geoff Diehl,REP,3422,FALSE
Somerset,Kevin Reed,LIB,107,FALSE
Somerville,Maura Healey,DEM,25344,TRUE
Somerville,Geoff Diehl,REP,2788,FALSE
Somerville,Kevin Reed,LIB,380,FALSE
Southampton,Maura Healey,DEM,1604,TRUE
Southampton,Geoff Diehl,REP,1454,FALSE
Southampton,Kevin Reed,LIB,37,FALSE
Southborough,Maura Healey,DEM,3138,TRUE
Southborough,Geoff Diehl,REP,1596,FALSE
Southborough,Kevin Reed,LIB,80,FALSE
Southbridge,Maura Healey,DEM,2302,TRUE
Southbridge,Geoff Diehl,REP,1788,FALSE
Southbridge,Kevin Reed,LIB,125,FALSE
Southwick,Maura Healey,DEM,1587,FALSE
Southwick,Geoff Diehl,REP,2506,TRUE
Southwick,Kevin Reed,LIB,85,FALSE
Spencer,Maura Healey,DEM,1988,FALSE
Spencer,Geoff Diehl,REP,2339,TRUE
Spencer,Kevin Reed,LIB,95,FALSE
Springfield,Maura Healey,DEM,19727,TRUE
Springfield,Geoff Diehl,REP,8041,FALSE
Springfield,Kevin Reed,LIB,516,FALSE
Sterling,Maura Healey,DEM,2080,TRUE
Sterling,Geoff Diehl,REP,2013,FALSE
Sterling,Kevin Reed,LIB,60,FALSE
Stockbridge,Maura Healey,DEM,853,TRUE
Stockbridge,Geoff Diehl,REP,191,FALSE
Stockbridge,Kevin Reed,LIB,13,FALSE
Stoneham,Maura Healey,DEM,6263,TRUE
Stoneham,Geoff Diehl,REP,3966,FALSE
Stoneham,Kevin Reed,LIB,135,FALSE
Stoughton,Maura Healey,DEM,6510,TRUE
Stoughton,Geoff Diehl,REP,3761,FALSE
Stoughton,Kevin Reed,LIB,147,FALSE
Stow,Maura Healey,DEM,2723,TRUE
Stow,Geoff Diehl,REP,1054,FALSE
Stow,Kevin Reed,LIB,68,FALSE
Sturbridge,Maura Healey,DEM,2313,TRUE
Sturbridge,Geoff Diehl,REP,1899,FALSE
Sturbridge,Kevin Reed,LIB,106,FALSE
Sudbury,Maura Healey,DEM,6679,TRUE
Sudbury,Geoff Diehl,REP,2261,FALSE
Sudbury,Kevin Reed,LIB,124,FALSE
Sunderland,Maura Healey,DEM,1048,TRUE
Sunderland,Geoff Diehl,REP,301,FALSE
Sunderland,Kevin Reed,LIB,25,FALSE
Sutton,Maura Healey,DEM,2107,FALSE
Sutton,Geoff Diehl,REP,2377,TRUE
Sutton,Kevin Reed,LIB,82,FALSE
Swampscott,Maura Healey,DEM,5007,TRUE
Swampscott,Geoff Diehl,REP,1902,FALSE
Swampscott,Kevin Reed,LIB,94,FALSE
Swansea,Maura Healey,DEM,3326,FALSE
Swansea,Geoff Diehl,REP,3468,TRUE
Swansea,Kevin Reed,LIB,103,FALSE
Taunton,Maura Healey,DEM,9050,TRUE
Taunton,Geoff Diehl,REP,7366,FALSE
Taunton,Kevin Reed,LIB,313,FALSE
Templeton,Maura Healey,DEM,1403,FALSE
Templeton,Geoff Diehl,REP,1683,TRUE
Templeton,Kevin Reed,LIB,51,FALSE
Tewksbury,Maura Healey,DEM,6773,TRUE
Tewksbury,Geoff Diehl,REP,6350,FALSE
Tewksbury,Kevin Reed,LIB,207,FALSE
Tisbury,Maura Healey,DEM,1575,TRUE
Tisbury,Geoff Diehl,REP,419,FALSE
Tisbury,Kevin Reed,LIB,33,FALSE
Tolland,Maura Healey,DEM,96,FALSE
Tolland,Geoff Diehl,REP,144,TRUE
Tolland,Kevin Reed,LIB,5,FALSE
Topsfield,Maura Healey,DEM,1892,TRUE
Topsfield,Geoff Diehl,REP,1383,FALSE
Topsfield,Kevin Reed,LIB,53,FALSE
Townsend,Maura Healey,DEM,1872,FALSE
Townsend,Geoff Diehl,REP,2009,TRUE
Townsend,Kevin Reed,LIB,69,FALSE
Truro,Maura Healey,DEM,1164,TRUE
Truro,Geoff Diehl,REP,300,FALSE
Truro,Kevin Reed,LIB,19,FALSE
Tyngsborough,Maura Healey,DEM,2763,TRUE
Tyngsborough,Geoff Diehl,REP,2448,FALSE
Tyngsborough,Kevin Reed,LIB,83,FALSE
Tyringham,Maura Healey,DEM,178,TRUE
Tyringham,Geoff Diehl,REP,58,FALSE
Tyringham,Kevin Reed,LIB,7,FALSE
Upton,Maura Healey,DEM,2247,TRUE
Upton,Geoff Diehl,REP,1586,FALSE
Upton,Kevin Reed,LIB,68,FALSE
Uxbridge,Maura Healey,DEM,2910,FALSE
Uxbridge,Geoff Diehl,REP,3092,TRUE
Uxbridge,Kevin Reed,LIB,122,FALSE
W. Boylston,Maura Healey,DEM,1958,TRUE
W. Boylston,Geoff Diehl,REP,1490,FALSE
W. Boylston,Kevin Reed,LIB,73,FALSE
W. Bridgewater,Maura Healey,DEM,1451,FALSE
W. Bridgewater,Geoff Diehl,REP,1746,TRUE
W. Bridgewater,Kevin Reed,LIB,53,FALSE
W. Brookfield,Maura Healey,DEM,840,FALSE
W. Brookfield,Geoff Diehl,REP,863,TRUE
W. Brookfield,Kevin Reed,LIB,34,FALSE
W. Newbury,Maura Healey,DEM,1626,TRUE
W. Newbury,Geoff Diehl,REP,894,FALSE
W. Newbury,Kevin Reed,LIB,54,FALSE
W. Springfield,Maura Healey,DEM,4424,TRUE
W. Springfield,Geoff Diehl,REP,3886,FALSE
W. Springfield,Kevin Reed,LIB,139,FALSE
W. Stockbridge,Maura Healey,DEM,590,TRUE
W. Stockbridge,Geoff Diehl,REP,129,FALSE
W. Stockbridge,Kevin Reed,LIB,16,FALSE
W. Tisbury,Maura Healey,DEM,1472,TRUE
W. Tisbury,Geoff Diehl,REP,272,FALSE
W. Tisbury,Kevin Reed,LIB,16,FALSE
Wakefield,Maura Healey,DEM,7336,TRUE
Wakefield,Geoff Diehl,REP,4655,FALSE
Wakefield,Kevin Reed,LIB,151,FALSE
Wales,Maura Healey,DEM,284,FALSE
Wales,Geoff Diehl,REP,458,TRUE
Wales,Kevin Reed,LIB,12,FALSE
Walpole,Maura Healey,DEM,6702,TRUE
Walpole,Geoff Diehl,REP,5094,FALSE
Walpole,Kevin Reed,LIB,203,FALSE
Waltham,Maura Healey,DEM,13828,TRUE
Waltham,Geoff Diehl,REP,5537,FALSE
Waltham,Kevin Reed,LIB,322,FALSE
Ware,Maura Healey,DEM,1604,FALSE
Ware,Geoff Diehl,REP,1711,TRUE
Ware,Kevin Reed,LIB,73,FALSE
Wareham,Maura Healey,DEM,4724,TRUE
Wareham,Geoff Diehl,REP,4072,FALSE
Wareham,Kevin Reed,LIB,162,FALSE
Warren,Maura Healey,DEM,763,FALSE
Warren,Geoff Diehl,REP,975,TRUE
Warren,Kevin Reed,LIB,47,FALSE
Warwick,Maura Healey,DEM,273,TRUE
Warwick,Geoff Diehl,REP,121,FALSE
Warwick,Kevin Reed,LIB,7,FALSE
Washington,Maura Healey,DEM,182,TRUE
Washington,Geoff Diehl,REP,91,FALSE
Washington,Kevin Reed,LIB,5,FALSE
Watertown,Maura Healey,DEM,10898,TRUE
Watertown,Geoff Diehl,REP,2819,FALSE
Watertown,Kevin Reed,LIB,189,FALSE
Wayland,Maura Healey,DEM,5166,TRUE
Wayland,Geoff Diehl,REP,1522,FALSE
Wayland,Kevin Reed,LIB,94,FALSE
Webster,Maura Healey,DEM,2557,FALSE
Webster,Geoff Diehl,REP,2630,TRUE
Webster,Kevin Reed,LIB,107,FALSE
Wellesley,Maura Healey,DEM,8567,TRUE
Wellesley,Geoff Diehl,REP,3216,FALSE
Wellesley,Kevin Reed,LIB,191,FALSE
Wellfleet,Maura Healey,DEM,1568,TRUE
Wellfleet,Geoff Diehl,REP,416,FALSE
Wellfleet,Kevin Reed,LIB,36,FALSE
Wendell,Maura Healey,DEM,390,TRUE
Wendell,Geoff Diehl,REP,81,FALSE
Wendell,Kevin Reed,LIB,9,FALSE
Wenham,Maura Healey,DEM,1263,TRUE
Wenham,Geoff Diehl,REP,665,FALSE
Wenham,Kevin Reed,LIB,29,FALSE
Westborough,Maura Healey,DEM,5244,TRUE
Westborough,Geoff Diehl,REP,2256,FALSE
Westborough,Kevin Reed,LIB,120,FALSE
Westfield,Maura Healey,DEM,6860,FALSE
Westfield,Geoff Diehl,REP,7020,TRUE
Westfield,Kevin Reed,LIB,264,FALSE
Westford,Maura Healey,DEM,7172,TRUE
Westford,Geoff Diehl,REP,3878,FALSE
Westford,Kevin Reed,LIB,168,FALSE
Westhampton,Maura Healey,DEM,626,TRUE
Westhampton,Geoff Diehl,REP,321,FALSE
Westhampton,Kevin Reed,LIB,16,FALSE
Westminster,Maura Healey,DEM,1955,TRUE
Westminster,Geoff Diehl,REP,1907,FALSE
Westminster,Kevin Reed,LIB,64,FALSE
Weston,Maura Healey,DEM,3420,TRUE
Weston,Geoff Diehl,REP,1583,FALSE
Weston,Kevin Reed,LIB,95,FALSE
Westport,Maura Healey,DEM,3831,TRUE
Westport,Geoff Diehl,REP,3664,FALSE
Westport,Kevin Reed,LIB,139,FALSE
Westwood,Maura Healey,DEM,4816,TRUE
Westwood,Geoff Diehl,REP,2794,FALSE
Westwood,Kevin Reed,LIB,128,FALSE
Weymouth,Maura Healey,DEM,13305,TRUE
Weymouth,Geoff Diehl,REP,9461,FALSE
Weymouth,Kevin Reed,LIB,316,FALSE
Whately,Maura Healey,DEM,590,TRUE
Whately,Geoff Diehl,REP,296,FALSE
Whately,Kevin Reed,LIB,7,FALSE
Whitman,Maura Healey,DEM,2984,FALSE
Whitman,Geoff Diehl,REP,3161,TRUE
Whitman,Kevin Reed,LIB,97,FALSE
Wilbraham,Maura Healey,DEM,3331,TRUE
Wilbraham,Geoff Diehl,REP,3241,FALSE
Wilbraham,Kevin Reed,LIB,81,FALSE
Williamsburg,Maura Healey,DEM,1162,TRUE
Williamsburg,Geoff Diehl,REP,255,FALSE
Williamsburg,Kevin Reed,LIB,29,FALSE
Williamstown,Maura Healey,DEM,2450,TRUE
Williamstown,Geoff Diehl,REP,416,FALSE
Williamstown,Kevin Reed,LIB,38,FALSE
Wilmington,Maura Healey,DEM,5441,TRUE
Wilmington,Geoff Diehl,REP,4873,FALSE
Wilmington,Kevin Reed,LIB,142,FALSE
Winchendon,Maura Healey,DEM,1518,FALSE
Winchendon,Geoff Diehl,REP,1825,TRUE
Winchendon,Kevin Reed,LIB,81,FALSE
Winchester,Maura Healey,DEM,6896,TRUE
Winchester,Geoff Diehl,REP,3178,FALSE
Winchester,Kevin Reed,LIB,184,FALSE
Windsor,Maura Healey,DEM,259,TRUE
Windsor,Geoff Diehl,REP,129,FALSE
Windsor,Kevin Reed,LIB,7,FALSE
Winthrop,Maura Healey,DEM,4102,TRUE
Winthrop,Geoff Diehl,REP,2476,FALSE
Winthrop,Kevin Reed,LIB,88,FALSE
Woburn,Maura Healey,DEM,9273,TRUE
Woburn,Geoff Diehl,REP,6112,FALSE
Woburn,Kevin Reed,LIB,234,FALSE
Worcester,Maura Healey,DEM,28384,TRUE
Worcester,Geoff Diehl,REP,12677,FALSE
Worcester,Kevin Reed,LIB,794,FALSE
Worthington,Maura Healey,DEM,466,TRUE
Worthington,Geoff Diehl,REP,216,FALSE
Worthington,Kevin Reed,LIB,7,FALSE
Wrentham,Maura Healey,DEM,2971,TRUE
Wrentham,Geoff Diehl,REP,2859,FALSE
Wrentham,Kevin Reed,LIB,117,FALSE
Yarmouth,Maura Healey,DEM,6949,TRUE
Yarmouth,Geoff Diehl,REP,4840,FALSE
Yarmouth,Kevin Reed,LIB,135,FALSE
